"","Team","GP","TOI","SH%","SV%","PDO"
"1","Vancouver Canucks","22","1037.0333","10.64","93.21","1.038"
"2","Boston Bruins","20","924.1","9.60","93.74","1.033"
"3","Detroit Red Wings","20","910.95","11.27","91.94","1.032"
"4","Los Angeles Kings","19","878.5333","10.71","91.49","1.022"
"5","Winnipeg Jets","20","957.2667","9.07","92.79","1.019"
"6","Nashville Predators","20","924.1833","9.22","92.63","1.018"
"7","Arizona Coyotes","20","919.8667","10.00","91.58","1.016"
"8","Montreal Canadiens","21","962.5333","8.43","93.07","1.015"
"9","Pittsburgh Penguins","20","972.5","8.63","92.70","1.013"
"10","Vegas Golden Knights","21","998.55","7.69","93.54","1.012"
"11","New York Islanders","20","977.7333","6.86","94.16","1.010"
"12","New York Rangers","19","907.4333","8.41","92.25","1.007"
"13","Ottawa Senators","16","741.55","10.96","89.58","1.005"
"14","St Louis Blues","20","974.1667","8.69","91.73","1.004"
"15","Dallas Stars","19","890.8667","9.36","91.03","1.004"
"16","Minnesota Wild","19","874.25","10.05","90.05","1.001"
"17","Columbus Blue Jackets","22","1030.85","9.54","90.48","1.000"
"18","Florida Panthers","20","929.9667","7.24","92.64","0.999"
"19","Colorado Avalanche","20","898.55","9.64","89.87","0.995"
"20","Toronto Maple Leafs","19","928.2833","8.97","90.39","0.994"
"21","Buffalo Sabres","21","998.9333","9.64","89.61","0.993"
"22","Philadelphia Flyers","21","984.95","8.56","90.38","0.989"
"23","Chicago Blackhawks","19","889.4167","8.61","90.26","0.989"
"24","Tampa Bay Lightning","21","1000.1333","9.09","89.77","0.989"
"25","Washington Capitals","17","815.9","7.18","91.65","0.988"
"26","Seattle Kraken","22","1064.0167","7.80","90.78","0.986"
"27","Carolina Hurricanes","20","944.4833","7.91","90.54","0.984"
"28","Anaheim Ducks","21","940.8333","7.30","90.41","0.977"
"29","Calgary Flames","21","996.3167","8.17","89.44","0.976"
"30","Edmonton Oilers","20","930.2833","7.58","89.57","0.972"
"31","New Jersey Devils","19","901.3","6.96","89.50","0.965"
"32","San Jose Sharks","21","1012.2667","5.08","90.19","0.953"
