GP,Opponent,GF,GA,Result,SF,SA,PDO
1,Edmonton Oilers,8,1,W,32,27,126.3
2,Edmonton Oilers,4,3,W,16,40,117.9
3,Philadelphia Flyers,0,2,L,26,42,93.9
4,Tampa Bay Lightning,3,4,L,29,36,103.1
5,Florida Panthers,5,3,W,31,36,106.2
6,Nashville Predators,3,2,W,24,18,98.2
7,St. Louis Blues,5,0,W,35,22,114.3
8,New York Rangers,3,4,L,33,24,96.9
9,Nashville Predators,5,2,W,27,29,108.3
10,San Jose Sharks,10,1,W,33,31,124.0
11,Dallas Stars,2,0,W,28,27,113.3
12,Edmonton Oilers,6,2,W,36,43,108.6
13,Ottawa Senators,5,2,W,16,30,118.7
14,Toronto Maple Leafs,2,5,L,33,22,66.7
15,Montreal Canadiens,5,2,W,37,32,112.6
16,New York Islanders,4,3,W,43,33,99.1
17,Calgary Flames,2,5,L,22,39,92.1
18,Seattle Kraken,3,4,L,24,26,97.0
19,San Jose Sharks,3,1,W,37,28,106.9
20,Colorado Avalanche,2,5,L,29,25,88.3
21,Seattle Kraken,5,1,W,27,24,114.7
22,San Jose Sharks,,,,,,
